Column_or_Row_Name,Unit,Definition,Data_Type
Wave_752,%,Reflectance at associated wavelength,numeric
Wave_753,%,Reflectance at associated wavelength,numeric
Wave_754,%,Reflectance at associated wavelength,numeric
Wave_755,%,Reflectance at associated wavelength,numeric
Wave_756,%,Reflectance at associated wavelength,numeric
Wave_757,%,Reflectance at associated wavelength,numeric
Wave_758,%,Reflectance at associated wavelength,numeric
Wave_759,%,Reflectance at associated wavelength,numeric
Wave_760,%,Reflectance at associated wavelength,numeric
Wave_761,%,Reflectance at associated wavelength,numeric
Wave_762,%,Reflectance at associated wavelength,numeric
Wave_763,%,Reflectance at associated wavelength,numeric
Wave_764,%,Reflectance at associated wavelength,numeric
Wave_765,%,Reflectance at associated wavelength,numeric
Wave_766,%,Reflectance at associated wavelength,numeric
Wave_767,%,Reflectance at associated wavelength,numeric
Wave_768,%,Reflectance at associated wavelength,numeric
Wave_769,%,Reflectance at associated wavelength,numeric
Wave_770,%,Reflectance at associated wavelength,numeric
Wave_771,%,Reflectance at associated wavelength,numeric
Wave_772,%,Reflectance at associated wavelength,numeric
Wave_773,%,Reflectance at associated wavelength,numeric
Wave_774,%,Reflectance at associated wavelength,numeric
Wave_775,%,Reflectance at associated wavelength,numeric
Wave_776,%,Reflectance at associated wavelength,numeric
Wave_777,%,Reflectance at associated wavelength,numeric
Wave_778,%,Reflectance at associated wavelength,numeric
Wave_779,%,Reflectance at associated wavelength,numeric
Wave_780,%,Reflectance at associated wavelength,numeric
Wave_781,%,Reflectance at associated wavelength,numeric
Wave_782,%,Reflectance at associated wavelength,numeric
Wave_783,%,Reflectance at associated wavelength,numeric
Wave_784,%,Reflectance at associated wavelength,numeric
Wave_785,%,Reflectance at associated wavelength,numeric
Wave_786,%,Reflectance at associated wavelength,numeric
Wave_787,%,Reflectance at associated wavelength,numeric
Wave_788,%,Reflectance at associated wavelength,numeric
Wave_789,%,Reflectance at associated wavelength,numeric
Wave_790,%,Reflectance at associated wavelength,numeric
Wave_791,%,Reflectance at associated wavelength,numeric
Wave_792,%,Reflectance at associated wavelength,numeric
Wave_793,%,Reflectance at associated wavelength,numeric
Wave_794,%,Reflectance at associated wavelength,numeric
Wave_795,%,Reflectance at associated wavelength,numeric
Wave_796,%,Reflectance at associated wavelength,numeric
Wave_797,%,Reflectance at associated wavelength,numeric
Wave_798,%,Reflectance at associated wavelength,numeric
Wave_799,%,Reflectance at associated wavelength,numeric
Wave_800,%,Reflectance at associated wavelength,numeric
Wave_801,%,Reflectance at associated wavelength,numeric
Wave_802,%,Reflectance at associated wavelength,numeric
Wave_803,%,Reflectance at associated wavelength,numeric
Wave_804,%,Reflectance at associated wavelength,numeric
Wave_805,%,Reflectance at associated wavelength,numeric
Wave_806,%,Reflectance at associated wavelength,numeric
Wave_807,%,Reflectance at associated wavelength,numeric
Wave_808,%,Reflectance at associated wavelength,numeric
Wave_809,%,Reflectance at associated wavelength,numeric
Wave_810,%,Reflectance at associated wavelength,numeric
Wave_811,%,Reflectance at associated wavelength,numeric
Wave_812,%,Reflectance at associated wavelength,numeric
Wave_813,%,Reflectance at associated wavelength,numeric
Wave_814,%,Reflectance at associated wavelength,numeric
Wave_815,%,Reflectance at associated wavelength,numeric
Wave_816,%,Reflectance at associated wavelength,numeric
Wave_817,%,Reflectance at associated wavelength,numeric
Wave_818,%,Reflectance at associated wavelength,numeric
Wave_819,%,Reflectance at associated wavelength,numeric
Wave_820,%,Reflectance at associated wavelength,numeric
Wave_821,%,Reflectance at associated wavelength,numeric
Wave_822,%,Reflectance at associated wavelength,numeric
Wave_823,%,Reflectance at associated wavelength,numeric
Wave_824,%,Reflectance at associated wavelength,numeric
Wave_825,%,Reflectance at associated wavelength,numeric
Wave_826,%,Reflectance at associated wavelength,numeric
Wave_827,%,Reflectance at associated wavelength,numeric
Wave_828,%,Reflectance at associated wavelength,numeric
Wave_829,%,Reflectance at associated wavelength,numeric
Wave_830,%,Reflectance at associated wavelength,numeric
Wave_831,%,Reflectance at associated wavelength,numeric
Wave_832,%,Reflectance at associated wavelength,numeric
Wave_833,%,Reflectance at associated wavelength,numeric
Wave_834,%,Reflectance at associated wavelength,numeric
Wave_835,%,Reflectance at associated wavelength,numeric
Wave_836,%,Reflectance at associated wavelength,numeric
Wave_837,%,Reflectance at associated wavelength,numeric
Wave_838,%,Reflectance at associated wavelength,numeric
Wave_839,%,Reflectance at associated wavelength,numeric
Wave_840,%,Reflectance at associated wavelength,numeric
Wave_841,%,Reflectance at associated wavelength,numeric
Wave_842,%,Reflectance at associated wavelength,numeric
Wave_843,%,Reflectance at associated wavelength,numeric
Wave_844,%,Reflectance at associated wavelength,numeric
Wave_845,%,Reflectance at associated wavelength,numeric
Wave_846,%,Reflectance at associated wavelength,numeric
Wave_847,%,Reflectance at associated wavelength,numeric
Wave_848,%,Reflectance at associated wavelength,numeric
Wave_849,%,Reflectance at associated wavelength,numeric
Wave_850,%,Reflectance at associated wavelength,numeric
Wave_851,%,Reflectance at associated wavelength,numeric
