SampleID,LMA,LWC,Cmass,Nmass,Carea,Narea,CNratio,CNmolarRatio
BNL17655,91.83,62.29,499.1,14.9,45.83,1.37,0.33,0.39
BNL17656,59.42,74.31,505.8,17,30.05,1.01,0.3,0.35
BNL17657,259.74,53.28,526,15.9,136.62,4.13,0.33,0.39
BNL17658,158.9,58.12,500.9,10.3,79.59,1.64,0.49,0.57
BNL17659,113.48,69.92,476,16.5,54.02,1.87,0.29,0.34
BNL17660,216.83,57.1,531.9,12.8,115.33,2.78,0.42,0.48
BNL17661,107.59,55.99,497.3,13.5,53.5,1.45,0.37,0.43
BNL17662,71.68,60.9,492.7,16.4,35.32,1.18,0.3,0.35
BNL17664,129.87,64.46,473.8,19.9,61.53,2.58,0.24,0.28
BNL17665,170.93,29.8,480.9,18.8,82.2,3.21,0.26,0.3
BNL17666,114.08,61.38,482.8,17.8,55.08,2.03,0.27,0.32
BNL17667,103.98,62.88,503.7,18.4,52.38,1.91,0.27,0.32
BNL17682,149.29,55.12,458.5,18.7,68.45,2.79,0.25,0.29
BNL17683,108.86,58.96,526.3,18.2,57.29,1.98,0.29,0.34
BNL17684,97.19,65.3,494.4,19.9,48.05,1.93,0.25,0.29
BNL17686,218.52,58.01,539.1,11.8,117.8,2.58,0.46,0.53
BNL17702,98.04,60.71,508.4,21,49.84,2.06,0.24,0.28
BNL17703,185.53,52.11,481.3,16.7,89.3,3.1,0.29,0.34
BNL17704,173.16,50.72,522.9,15.9,90.55,2.75,0.33,0.38
BNL17705,192.26,45.75,540.7,13.5,103.95,2.6,0.4,0.47
BNL17707,151.3,60.61,472.7,21,71.52,3.18,0.23,0.26
BNL17708,103.34,59.08,514.3,24.4,53.15,2.52,0.21,0.25
BNL17709,161.7,53.18,528.7,19.7,85.49,3.19,0.27,0.31
BNL17710,144.19,45.42,526.6,17,75.93,2.45,0.31,0.36
BNL17711,129.11,53.91,514.9,19.3,66.48,2.49,0.27,0.31
BNL17712,161.32,55.54,516,15.7,83.24,2.53,0.33,0.38
BNL17714,196.97,49.28,505.9,16.6,99.65,3.27,0.3,0.36
BNL17715,134.24,54.72,511.6,23.9,68.68,3.21,0.21,0.25
BNL17716,99.31,66.09,509.9,17.1,50.64,1.7,0.3,0.35
BNL17717,156.04,55.52,516,21.7,80.52,3.39,0.24,0.28
BNL17719,130.29,42.62,528.3,24.7,68.83,3.22,0.21,0.25
BNL17720,125.2,64.02,508.1,12.6,63.62,1.58,0.4,0.47
BNL17721,107.97,57.6,504.3,16.5,54.45,1.78,0.31,0.36
BNL17722,182.75,53.88,448.1,17.6,81.89,3.22,0.25,0.3
BNL17723,179.02,58.4,508.9,14.5,91.1,2.6,0.35,0.41
BNL17724,156.61,52.17,497.4,13.6,77.9,2.13,0.37,0.43
BNL17725,148.97,61.64,495,12.3,73.74,1.83,0.4,0.47
BNL17726,168.55,55.69,503.1,13.9,84.8,2.34,0.36,0.42
BNL17727,159.15,58.33,498.1,15.9,79.28,2.53,0.31,0.37
BNL17741,60.31,56.14,553.2,32.4,33.36,1.95,0.17,0.2
BNL17742,158.97,47.98,515.5,15,81.95,2.38,0.34,0.4
BNL17743,68.21,73.21,506.1,36.8,34.52,2.51,0.14,0.16
BNL17750,187.42,55.8,504.5,13.4,94.55,2.51,0.38,0.44
BNL17751,188.3,50.15,500.8,14,94.3,2.64,0.36,0.42
BNL17752,179.53,51.19,502.2,14.2,90.16,2.55,0.35,0.41
BNL17753,157.88,53.21,486.7,12.9,76.84,2.04,0.38,0.44
BNL17875,195.31,20.1,491.9,20.1,96.08,3.93,0.24,0.29
BNL17876,149.56,51.21,481,22.7,71.94,3.39,0.21,0.25
BNL17877,140.57,52.62,474.9,23,66.75,3.23,0.21,0.24
BNL17878,175.33,53.79,480.2,22.4,84.19,3.93,0.21,0.25
BNL17885,152.79,51.42,478.1,20.2,73.05,3.09,0.24,0.28
BNL17886,195.76,50,501.5,16.6,98.17,3.25,0.3,0.35
BNL17887,171.63,56.23,497.3,20.4,85.35,3.5,0.24,0.28
BNL17888,168.7,33.08,482,19.6,81.32,3.31,0.25,0.29
BNL17889,133.69,54.15,471.8,21.2,63.08,2.83,0.22,0.26
BNL17902,182.39,49.29,499.2,10.2,91.05,1.86,0.49,0.57
BNL17904,197.35,48.68,504.7,15.6,99.6,3.08,0.32,0.38
BNL17906,132.1,60.85,488.6,18.8,64.54,2.48,0.26,0.3
BNL17907,174.43,48.88,500.8,13.5,87.36,2.35,0.37,0.43
BNL18030,201.17,61.08,497.7,15.6,100.12,3.14,0.32,0.37
BNL18031,192.9,53.38,499.8,11.6,96.41,2.24,0.43,0.5
BNL18032,208.56,55.97,492.3,13.7,102.67,2.86,0.36,0.42
BNL18034,160.17,45.78,471.2,17.2,75.47,2.75,0.27,0.32
BNL18035,120.96,53.82,522.8,18,63.24,2.18,0.29,0.34
BNL18039,159.79,43.91,530.1,16,84.71,2.56,0.33,0.39
BNL18437,156.82,62.49,496.3,13.3,77.83,2.09,0.37,0.44
BNL18438,147.7,54.21,524.4,18.9,77.45,2.79,0.28,0.32
BNL18440,161.86,59.48,500.5,13.6,81.01,2.2,0.37,0.43
BNL18441,142.73,60.67,501.1,14.4,71.52,2.06,0.35,0.41
BNL18442,151.04,51.83,528.9,16.8,79.88,2.54,0.31,0.37
BNL18443,72.32,72.69,470.6,16.9,34.03,1.22,0.28,0.32
BNL18444,58.65,70.04,481,16.8,28.21,0.99,0.29,0.33
BNL18445,90.05,61.29,420.9,17.2,37.9,1.55,0.24,0.29
BNL18446,142.39,48.97,528.4,14.7,75.24,2.09,0.36,0.42
BNL18447,115.29,58.15,496.5,10.5,57.24,1.21,0.47,0.55
BNL18448,79.12,68.93,465.2,16.6,36.81,1.31,0.28,0.33
BNL18449,89.04,65.53,399.9,16.9,35.61,1.5,0.24,0.28
BNL18450,72.07,64.18,486,18.8,35.02,1.35,0.26,0.3
BNL18451,199.9,58.13,515.4,16.1,103.03,3.22,0.32,0.37
BNL18452,205.08,51.19,473.1,17.8,97.02,3.65,0.27,0.31
BNL18453,139.63,50.15,505.9,20.9,70.64,2.92,0.24,0.28
BNL18454,156.86,50.72,532.7,16.3,83.56,2.56,0.33,0.38
BNL18455,196.5,55.48,505.6,17.6,99.35,3.46,0.29,0.34
BNL18456,210.27,51.63,506.2,10.5,106.44,2.21,0.48,0.56
BNL18487,155.34,53.52,529.1,23.8,82.19,3.7,0.22,0.26
BNL18488,201.68,56.72,509.4,15.5,102.74,3.13,0.33,0.38
BNL18489,118.27,53.81,521.9,17.4,61.73,2.06,0.3,0.35
BNL18490,176.98,46.54,512.1,13.6,90.63,2.41,0.38,0.44
BNL18491,117.14,43.67,489.3,18.2,57.32,2.13,0.27,0.31
BNL18500,176.98,50.75,515.1,15.2,91.16,2.69,0.34,0.4
