SampleID,SampleID_num,Record,A,Ci,CO2s,Patm,Qin,RHs,Tleaf,gsw
20190725_DD_6_4_2,6_4,157,-5.023169277,124.7302771,105.0686646,100.9529495,1499.114136,57.4387207,31.9277916,385.6463496
20190725_DD_6_4_2,6_4,158,-9.107560852,100.0897557,60.36935806,100.9495926,1500.643066,57.16107559,32.02142715,387.9214786
20190725_DD_6_4_2,6_4,159,17.95388258,280.7823321,376.2305603,100.9497604,1500.407593,57.187603,31.90058517,384.2548802
20190725_DD_6_4_2,6_4,160,18.58835273,276.5798195,374.9163513,100.9482422,1499.735352,57.86235428,31.60206223,382.8863714
20190725_DD_6_4_2,6_4,161,30.63584716,398.6419631,558.6699219,100.9437637,1499.350952,57.86716843,31.55211639,383.1030347
20190725_DD_6_4_2,6_4,162,37.39285656,550.5910905,748.4819946,100.9401321,1500.242798,57.45888519,31.64912224,382.6511397
20190725_DD_6_5_1,6_5,163,22.09231426,298.2910489,369.4137573,100.9411011,1500.001343,66.26268005,31.59988976,695.2909225
20190725_DD_6_5_1,6_5,164,14.41180951,233.1508368,279.5231323,100.9387512,1499.078857,66.41042328,31.47567368,713.1338001
20190725_DD_6_5_1,6_5,165,5.339767799,172.5353359,191.5391846,100.93853,1498.817993,66.98077393,31.48117447,729.1165326
20190725_DD_6_5_1,6_5,166,-4.36852538,113.1880031,104.0481567,100.9361649,1499.196289,67.13372803,31.54511261,741.4681035
20190725_DD_6_5_1,6_5,167,-9.270978261,83.33339294,60.42325211,100.9334793,1499.930054,66.19274139,32.03319168,750.7266467
20190725_DD_6_5_1,6_5,168,21.23028993,304.2227536,370.7563782,100.934967,1499.439087,65.18340302,32.50927734,736.1374176
20190725_DD_6_5_1,6_5,169,22.49382955,297.2877378,368.4819336,100.9361115,1500.049683,63.74391556,32.96744156,723.3986175
20190725_DD_6_5_1,6_5,170,34.07375068,441.3811481,552.3104248,100.9371338,1501.208496,62.99833298,33.17863083,697.4007049
20190725_DD_6_5_1,6_5,171,40.50786575,603.8200308,741.9078369,100.934021,1500.671631,62.35765457,33.4744339,675.3718842
20190725_DD_6_5_2,6_5,172,20.96228238,297.053926,369.9197693,100.925293,1500.540527,61.18202209,34.14212036,658.7493766
20190725_DD_6_5_2,6_5,173,13.39348902,231.8159018,280.3173218,100.9198151,1499.593628,61.39911652,33.79686737,643.9438627
20190725_DD_6_5_2,6_5,174,4.502739036,173.1169965,192.2888336,100.9188919,1499.276733,62.05417633,33.55547714,646.3109261
20190725_DD_6_5_2,6_5,175,-5.13068046,116.9754089,104.8177795,100.917244,1500.242676,61.85246658,33.47337723,641.3660153
20190725_DD_6_5_2,6_5,176,-9.639705253,88.13130736,61.01795197,100.9161377,1500.69397,61.80698395,33.32941055,637.2712679
20190725_DD_6_5_2,6_5,177,20.10317352,301.6037282,372.4309082,100.9145966,1499.765625,62.63788223,33.33791733,644.9739252
20190725_DD_6_5_2,6_5,178,21.28024899,296.8377591,370.4526062,100.9141846,1499.095947,62.90164948,33.40857315,653.8353221
20190725_DD_6_5_2,6_5,179,32.97589346,440.1819535,554.0126953,100.9160156,1500.8927,62.95266342,33.16652679,648.6457685
20190725_DD_6_5_2,6_5,180,38.13424617,608.3330686,745.7337646,100.9166031,1499.772583,62.75771332,32.76123047,627.1136776
20190725_DT_8717_1,8717,181,20.09619485,283.2714738,372.1420288,100.9120102,1499.722046,59.89502716,33.15296555,477.5176449
20190725_DT_8717_1,8717,182,12.33875892,225.9385984,282.2636108,100.9121552,1500.297852,60.26584625,33.04580307,476.2433698
20190725_DT_8717_1,8717,183,3.673040304,173.8761255,193.9361572,100.9105988,1500.702881,61.26026535,32.77638626,478.3933006
20190725_DT_8717_1,8717,184,-5.098516593,121.1212901,105.2975616,100.9082413,1500.981323,62.45580292,32.49225616,493.2631827
20190725_DT_8717_1,8717,185,-9.832239904,93.01018714,61.11087418,100.9070587,1500.399292,63.71988297,32.2579689,545.2235011
20190725_DT_8717_1,8717,186,20.73699351,291.5808347,372.0088806,100.9048462,1499.604858,59.33058167,32.9671669,561.2694604
20190725_DT_8717_1,8717,187,22.37268641,286.3808002,369.3096924,100.9031219,1500.221802,61.00083542,32.98307037,587.2505845
20190725_DT_8717_1,8717,188,36.40801845,415.2487565,550.0941162,100.9013596,1499.898926,60.7794838,33.01504898,579.785808
20190725_DT_8717_1,8717,189,44.77931107,561.1981854,738.2712402,100.89785,1499.307129,59.99291611,32.95199585,540.0811383
20190725_DT_8717_2,8717,190,NA,NA,NA,NA,NA,NA,NA,NA
20190725_DT_8717_2,8717,191,NA,NA,NA,NA,NA,NA,NA,NA
20190725_DT_8717_2,8717,192,NA,NA,NA,NA,NA,NA,NA,NA
20190725_DT_8717_2,8717,193,NA,NA,NA,NA,NA,NA,NA,NA
20190725_DT_8717_2,8717,194,NA,NA,NA,NA,NA,NA,NA,NA
20190725_DT_8717_2,8717,195,NA,NA,NA,NA,NA,NA,NA,NA
20190725_DT_8717_2,8717,196,NA,NA,NA,NA,NA,NA,NA,NA
20190725_DT_8717_2,8717,197,NA,NA,NA,NA,NA,NA,NA,NA
20190725_DT_8717_2,8717,198,NA,NA,NA,NA,NA,NA,NA,NA
20190725_DT_7938_1,7938,199,24.55508104,285.6160744,365.963623,100.8825531,1500.505493,63.08386993,33.1875,683.4539132
20190725_DT_7938_1,7938,200,15.46174874,224.3304914,277.9255676,100.8852997,1499.230103,63.55977631,32.93553543,652.6042409
20190725_DT_7938_1,7938,201,5.273742562,169.6773249,191.4694214,100.8837891,1500.577515,63.54856491,32.65312576,616.0121316
20190725_DT_7938_1,7938,202,-5.132503958,119.019485,105.1337967,100.8791962,1499.721802,63.20254898,32.73434067,565.3802886
20190725_DT_7938_1,7938,203,-10.17867052,96.47987353,61.58939362,100.8735428,1499.27002,62.67395782,32.51807022,511.3051627
20190725_DT_7938_1,7938,204,20.61442378,277.9373214,372.3562927,100.8707809,1499.296631,61.14818954,32.70838165,452.7084657
20190725_DT_7938_1,7938,205,20.21179307,269.847179,372.3686523,100.8684235,1499.951782,59.57432556,32.88105774,400.4605249
20190725_DT_7938_1,7938,206,31.59243689,377.8381892,557.5715332,100.8673325,1499.399658,57.86989594,33.12607574,346.5356254
20190725_DT_7938_1,7938,207,39.09651646,496.8300256,747.237854,100.8689346,1500.708374,55.97788239,33.31811523,304.0060646
20190725_DT_7938_2,7938,208,22.27171194,287.64338,369.1031189,100.8716812,1500.165527,63.58459854,32.47213364,594.2205088
20190725_DT_7938_2,7938,209,13.57143997,228.668022,280.8669128,100.8708725,1500.441772,64.3279953,32.13715744,576.0764369
20190725_DT_7938_2,7938,210,3.997449712,174.1088303,193.4867554,100.8692856,1500.949829,63.72531891,32.07165527,536.0337695
20190725_DT_7938_2,7938,211,-5.851900838,125.0315732,106.0432663,100.8663483,1500.533081,61.97439957,32.35078812,482.7077284
20190725_DT_7938_2,7938,212,-10.56179594,103.8145731,61.71699905,100.8620605,1500.439575,60.4216156,32.45248032,432.3155263
20190725_DT_7938_2,7938,213,17.28862966,282.1966492,376.2017822,100.8609009,1500.828979,59.39895248,32.31068039,374.3429486
