SampleID,Dataset_name,Site_name,Species,Sun_Shade,Phenological_stage,Photosynthetic_pathway,Plant_type,Soil,LMA,Narea,Nmass
20200714_DD_22,Kyaw_et_al_2022,Pontotoc,Populus deltoides x Populus deltoides ,Sun,Young,C3,Agricultural,Managed,114.36,1.42,12.44
20200714_DM_9225,Kyaw_et_al_2022,Pontotoc,Populus deltoides x Populus maximowiczii ,Sun,Young,C3,Agricultural,Managed,90.3,2.31,25.6
20200714_DN_433,Kyaw_et_al_2022,Pontotoc,Populus deltoides x Populus nigra ,Sun,Young,C3,Agricultural,Managed,73.2,1.81,24.74
20200714_DM_24120,Kyaw_et_al_2022,Pontotoc,Populus deltoides x Populus maximowiczii ,Sun,Young,C3,Agricultural,Managed,134.57,2.76,20.5
20200714_DM_24033,Kyaw_et_al_2022,Pontotoc,Populus deltoides x Populus maximowiczii ,Sun,Young,C3,Agricultural,Managed,98.09,1.83,18.67
20200714_DM_24114,Kyaw_et_al_2022,Pontotoc,Populus deltoides x Populus maximowiczii ,Sun,Young,C3,Agricultural,Managed,129.59,3.18,24.52
20200714_DM_24056,Kyaw_et_al_2022,Pontotoc,Populus deltoides x Populus maximowiczii ,Sun,Young,C3,Agricultural,Managed,114.72,4.73,41.25
20200714_TM_29262,Kyaw_et_al_2022,Pontotoc,Populus trichocarpa x Populus maximowiczii ,Sun,Young,C3,Agricultural,Managed,138.45,3.51,25.35
20200714_TM_24340,Kyaw_et_al_2022,Pontotoc,Populus trichocarpa x Populus maximowiczii ,Sun,Young,C3,Agricultural,Managed,108.36,2.97,27.39
20200714_TM_24301,Kyaw_et_al_2022,Pontotoc,Populus trichocarpa x Populus maximowiczii ,Sun,Young,C3,Agricultural,Managed,95.35,2.02,21.23
20200714_DT_8729,Kyaw_et_al_2022,Pontotoc,Populus deltoides x Populus trichocarpa ,Sun,Young,C3,Agricultural,Managed,87.58,2.81,32.03
20200714_TM_24304,Kyaw_et_al_2022,Pontotoc,Populus trichocarpa x Populus maximowiczii ,Sun,Young,C3,Agricultural,Managed,149.47,2.04,13.64
20200714_DT_7903,Kyaw_et_al_2022,Pontotoc,Populus deltoides x Populus trichocarpa ,Sun,Young,C3,Agricultural,Managed,93.76,1.45,15.46
20200714_DT_10016,Kyaw_et_al_2022,Pontotoc,Populus deltoides x Populus trichocarpa ,Sun,Young,C3,Agricultural,Managed,96.07,2.28,23.76
20200715_DD_ST70,Kyaw_et_al_2022,Pontotoc,Populus deltoides x Populus deltoides ,Sun,Young,C3,Agricultural,Managed,84.19,1.62,19.21
20200715_DD_ST75,Kyaw_et_al_2022,Pontotoc,Populus deltoides x Populus deltoides ,Sun,Young,C3,Agricultural,Managed,82.2,1.12,13.64
20200715_DD_6_1,Kyaw_et_al_2022,Pontotoc,Populus deltoides x Populus deltoides ,Sun,Young,C3,Agricultural,Managed,81.8,2.44,29.85
20200715_DN_14278,Kyaw_et_al_2022,Pontotoc,Populus deltoides x Populus nigra ,Sun,Young,C3,Agricultural,Managed,93.05,3.11,33.43
20200715_DN_11840,Kyaw_et_al_2022,Pontotoc,Populus deltoides x Populus nigra ,Sun,Young,C3,Agricultural,Managed,83.39,2.54,30.51
20200715_DN_14340,Kyaw_et_al_2022,Pontotoc,Populus deltoides x Populus nigra ,Sun,Young,C3,Agricultural,Managed,84.49,2.98,35.29
20200715_DN_11797,Kyaw_et_al_2022,Pontotoc,Populus deltoides x Populus nigra ,Sun,Young,C3,Agricultural,Managed,76.12,2.01,26.42
20200715_DNM_24250,Kyaw_et_al_2022,Pontotoc,Populus deltoides x Populus nigra x Populus maximowiczii ,Sun,Young,C3,Agricultural,Managed,88.56,1.92,21.73
20200715_DM_24066,Kyaw_et_al_2022,Pontotoc,Populus deltoides x Populus maximowiczii ,Sun,Young,C3,Agricultural,Managed,124.73,3.75,30.08
20200715_DM_13724,Kyaw_et_al_2022,Pontotoc,Populus deltoides x Populus maximowiczii ,Sun,Young,C3,Agricultural,Managed,98.46,3.3,33.47
20200715_DN_11789,Kyaw_et_al_2022,Pontotoc,Populus deltoides x Populus nigra ,Sun,Young,C3,Agricultural,Managed,69.39,2.1,30.33
