Species,Year,Species_ID,Species,Family,Maxium Canopy Height (m),Growth Environment,BNL_UID,LMA,Training (1)/Validation(0),Age_adj_final,Mature/Immature,Vcmax25-sq,Vcmax25
15,2016,CASTEL_SU,Castilla elastica,Moraceae,24, Sunlit,BNL10556,,1,M,Mature,7.137884569,50.94939613
17,2016,CORDAL_SU,Cordia alliodora,Boraginaceae,23, Sunlit,BNL10542,,0,M,Mature,8.041941684,64.67282604
17,2016,CORDAL_SU,Cordia alliodora,Boraginaceae,23, Sunlit,BNL10549,,1,M,Mature,9.064114886,82.15817866
17,2016,CORDAL_SU,Cordia alliodora,Boraginaceae,23, Sunlit,BNL10557,,1,M,Mature,8.905027416,79.29951329
17,2016,CORDAL_SU,Cordia alliodora,Boraginaceae,23, Sunlit,BNL10561,,1,M,Mature,8.355112281,69.80790123
18,2016,FICUIN_SU,Ficus insipida,Moraceae,31, Sunlit,BNL10550,,0,M,Mature,9.651092741,93.14359109
18,2016,FICUIN_SU,Ficus insipida,Moraceae,31, Sunlit,BNL10558,,1,M,Mature,8.98102227,80.65876101
18,2016,FICUIN_SU,Ficus insipida,Moraceae,31, Sunlit,BNL10664,,1,M,Mature,9.930772156,98.62023561
18,2016,FICUIN_SU,Ficus insipida,Moraceae,31, Sunlit,BNL11652,,0,M,Mature,8.413751002,70.79120592
18,2016,FICUIN_SU,Ficus insipida,Moraceae,31, Sunlit,BNL11656,,1,M,Mature,8.608380098,74.10420791
19,2016,LUEHSE_SU,Luehea seemannii,Tiliaceae,26, Sunlit,BNL10560,,1,M,Mature,9.178040444,84.2364264
19,2016,LUEHSE_SU,Luehea seemannii,Tiliaceae,26, Sunlit,BNL10562,,1,M,Mature,9.270787681,85.94750422
19,2016,LUEHSE_SU,Luehea seemannii,Tiliaceae,26, Sunlit,BNL10660,,1,M,Mature,9.357021008,87.55384214
19,2016,LUEHSE_SU,Luehea seemannii,Tiliaceae,26, Sunlit,BNL10663,,0,M,Mature,9.555362585,91.30495414
19,2016,LUEHSE_SU,Luehea seemannii,Tiliaceae,26, Sunlit,BNL10665,,1,M,Mature,9.507359948,90.38989319
