BNL_barcode,Sample_date,Location,Species,C_pc,H_pc,N_pc,C:N,Molar Ratio,C _mg_gDW-1,H_mg_gDW-1,N_mg_gDW-1,C_g_m-2,H_g_m-2,N_g_m-2,Gasex_type,Canopy_position,LMA_g_m-2,SLA_cm2_g,H20_pc
BNL10885,2016-03-11,PA-SLZ,VIROSP,54.01,6.33,1.73,31.22,36.41,540.1,63.3,17.3,86.05,10.09,2.76,ACi,sunlit,159.33,62.76,55.85
BNL10928,2016-03-11,PA-SLZ,CARAGU,52.44,6.03,1.08,48.56,56.62,524.4,60.3,10.8,69.60,8.00,1.43,ACi,sunlit,132.72,75.34,55.07
BNL10937,2016-03-11,PA-SLZ,TOCOPI,50.24,6.53,1.44,34.89,40.69,502.4,65.3,14.4,51.93,6.75,1.49,ACi,sunlit,103.36,96.75,57.58
BNL10939,2016-03-10,PA-SLZ,TERMAM,51.25,4.78,1.96,26.15,30.49,512.5,47.8,19.6,63.19,5.89,2.42,Diurnal 1,sunlit,123.30,81.10,60.09
BNL10940,2016-03-11,PA-SLZ,MICOBO,53.46,5.83,1.73,30.90,36.04,534.6,58.3,17.3,54.23,5.91,1.75,ACi,sunlit,101.43,98.59,48.78
BNL10942,2016-03-11,PA-SLZ,VOCHFE,48.35,5.48,1.25,38.68,45.11,483.5,54.8,12.5,52.89,5.99,1.37,ACi,sunlit,109.39,91.41,60.58
BNL10964,2016-03-11,PA-SLZ,TERMAM,50.68,5.45,1.93,26.26,30.62,506.8,54.5,19.3,59.69,6.42,2.27,ACi,sunlit,117.77,84.91,53.83
BNL10979,2016-03-10,PA-SLZ,GUATDU,50.05,5.83,2.13,23.50,27.40,500.5,58.3,21.3,44.15,5.14,1.88,Diurnal 1,sunlit,88.20,113.38,60.00
BNL10986,2016-03-10,PA-SLZ,MICOBO,53.71,5.86,1.99,26.99,31.48,537.1,58.6,19.9,52.07,5.68,1.93,Diurnal 1,sunlit,96.95,103.14,50.25
BNL10998,2016-03-10,PA-SLZ,TOCOPI,50.86,6.18,1.9,26.77,31.22,508.6,61.8,19,44.47,5.40,1.66,Diurnal 1,sunlit,87.45,114.36,61.78
BNL11020,2016-03-10,PA-SLZ,TACHVE,51.62,5.89,2.38,21.69,25.29,516.2,58.9,23.8,43.55,4.97,2.01,ACi,sunlit,84.38,118.52,35.62
BNL11024,2016-03-10,PA-SLZ,APEIME,51.85,6.02,1.89,27.43,31.99,518.5,60.2,18.9,63.21,7.34,2.30,Diurnal 1,sunlit,121.91,82.03,56.69
