unique,Variety,Row,Position,SampleID,leaf.area.cm2,leaf.dry.mass.g,lma.g.m2,leafn,leafc
130,sb,r29,p9,sb_r29_p9,212.632,1.681,79.05677415,3.405,44.784
131,sb,r30,p1,sb_r30_p1,96.816,0.511,52.78053214,3.962,45.248
132,sb,r30,p10,sb_r30_p10,207.525,1.435,69.14829539,3.9092,44.277
133,sb,r30,p2,sb_r30_p2,41.963,0.283,67.44036413,3.9197,43.539
134,sb,r30,p3,sb_r30_p3,135.658,1.145,84.40342626,3.5639,43.403
135,sb,r30,p4,sb_r30_p4,205.883,1.356,65.86265015,3.7545,45.08
136,sb,r30,p5,sb_r30_p5,162.301,0.982,60.50486442,4.273,45.327
137,sb,r30,p6,sb_r30_p6,55.753,0.4,71.74501821,2.6076,43.77
138,sb,r30,p7,sb_r30_p7,204.413,1.754,85.8066757,4.2134,43.919
139,sb,r30,p8,sb_r30_p8,197.883,1.672,84.49437294,3.9197,43.539
140,sb,r30,p9,sb_r30_p9,280.082,2.171,77.51301405,3.938,44.028
141,sb,r31,p1,sb_r31_p1,140.131,1.076,76.78529376,3.3921,44.852
142,sb,r31,p10,sb_r31_p10,154.755,1.575,101.7737714,3.7362,43.096
143,sb,r31,p2,sb_r31_p2,142.583,1.136,79.67289228,3.6996,43.159
144,sb,r31,p3,sb_r31_p3,182.153,1.273,69.88630437,3.2116,44.153
145,sb,r31,p4,sb_r31_p4,228.179,1.865,81.73407719,3.8978,44.436
146,sb,r31,p5,sb_r31_p5,232.061,2.009,86.5720651,3.7788,43.849
147,sb,r31,p7,sb_r31_p7,252.43,2.031,80.45794874,3.9205,44.836
148,sb,r31,p8,sb_r31_p8,272.687,2.48,90.94676314,3.9345,43.086
149,sb,r31,p9,sb_r31_p9,184.613,1.731,93.76371111,3.737,44.536
150,vio,r25,p1,vio_r25_p1,181.823,1.547,85.08274531,3.4396,44.762
151,vio,r25,p10,vio_r25_p10,71.671,0.649,90.55266426,2.3713,43.32
152,vio,r25,p2,vio_r25_p2,171.168,1.335,77.9935502,3.7386,44.553
153,vio,r25,P3,vio_r25_p3,200.574,1.549,77.22835462,3.8129,44.61
154,vio,r25,p4,vio_r25_p4,215.518,1.702,78.97252202,3.7628,43.942
155,vio,r25,p5,vio_r25_p5,220.5,1.867,84.67120181,3.7836,42.927
