SampleID,SampleID_num,Record,A,Ci,Patm,Qin,Tleaf,Ca,Pci,Pca,gsw,RHs,VPDleaf,CO2s,CO2r
cf_r3_p2,3,148,2.736814501,87.73365529,99.88410153,1500,27.90350724,111.146125,8.771970698,11.11284545,0.219603069,57.65502191,1.695953177,111.146125,135.111
cf_r3_p2,3,149,3.409754311,95.93768933,99.88398135,1500,27.9099872,124.7104286,9.592232141,12.46904517,0.219770507,57.64001175,1.696147688,124.7104286,149.57
cf_r3_p2,3,150,4.066489206,102.4290399,99.88428405,1500,27.91783947,136.363125,10.24129422,13.63416942,0.220162561,57.59871022,1.700778522,136.363125,162.063125
cf_r3_p2,3,151,4.804393417,110.2403993,99.8843815,1500,27.93167976,150.0915714,11.02231814,15.00681293,0.219781867,57.54143094,1.701638026,150.0915714,176.6331429
cf_r3_p2,3,152,5.651472041,115.2297887,99.88535899,1500,27.94458335,161.813375,11.52129179,16.17896838,0.219191382,57.49123792,1.703770759,161.813375,189.06575
cf_r3_p2,3,153,6.337157042,123.2348034,99.88692885,1500,27.96253323,175.4832857,12.32186952,17.5460348,0.218410326,57.43017301,1.708508858,175.4832857,203.7187143
cf_r3_p2,3,154,7.159612093,128.6300268,99.88605108,1500,27.97193081,187.23925,12.86120843,18.72131321,0.218915294,57.38328865,1.710256302,187.23925,216.184
cf_r3_p2,3,155,7.661339305,137.9669906,99.88659447,1500,27.98845544,201.0235714,13.79484954,20.09966233,0.217672587,57.31659009,1.712666966,201.0235714,230.7795714
cf_r3_p2,3,156,8.642735045,141.6513365,99.88662483,1500,27.99126025,212.786625,14.16323904,21.27581645,0.216352056,57.28164096,1.714544615,212.786625,243.269875
cf_r3_p2,3,157,9.203549572,150.4767172,99.88496884,1500,27.98928803,226.5098571,15.04540988,22.64758102,0.215473932,57.27506074,1.717308854,226.5098571,257.823
