PlotName,ForestPlotsCode,Subplot,PlotCensusNumber,CensusDate,TagNumber,HPOM_m,D_POM_cm,Height_m,Alive_1_Dead_0_At2015Census,Comments,Family,Genus,SpeciesName,GenusSpecies,SpeciesIDsource,Group,WoodDensity,CrownProjection_Area_m2_in2016,X_m,Y_m,GirdlingDeathDate,Time_since_Girdle,Survived,Biomass_kgPerStem,Carbon_kgCperStem
Tower,SAF-05,15,4,04/08/2015 00:00,210,1.3,13.5,7.3,1,NA,Fagaceae,Lithocarpus,leptogyne,Lithocarpus leptogyne,"Collected by SAFE Carbon Team, identified by MinSheng Khoo, 2014-2015, verified by Magat bin Japar (2016)",other,0.68,1.362,567832.261,521238.576,07/02/2017 00:00,370,0,46.0486701,21.96521564
Tower,SAF-05,15,4,04/08/2015 00:00,211,1.3,15.1,6.4,1,NA,Symplocaceae,Symplocos,fasciculata,Symplocos fasciculata,"Collected by SAFE Carbon Team, identified by MinSheng Khoo, 2014-2015, verified by Magat bin Japar (2016)",other,0.3,0,567831.712,521242.852,09/04/2016 00:00,66,0,22.28296128,10.62897253
Tower,SAF-05,15,4,04/08/2015 00:00,212,1.3,10.8,7,1,NA,Dipterocarpaceae,Dryobalanops,lanceolata,Dryobalanops lanceolata,"Collected by SAFE Carbon Team, identified by MinSheng Khoo, 2014-2015, verified by Magat bin Japar (2016)",Dipterocarp,0.62,3.762,567828.736,521246.989,24/08/2016 00:00,203,0,25.76647584,12.29060898
Tower,SAF-05,15,4,04/08/2015 00:00,213,1.3,11.4,11.2,1,NA,Dipterocarpaceae,Dryobalanops,lanceolata,Dryobalanops lanceolata,"Collected by SAFE Carbon Team, identified by MinSheng Khoo, 2014-2015, verified by Magat bin Japar (2016)",Dipterocarp,0.62,8.094,567832.277,521247.606,24/08/2016 00:00,203,0,45.93431002,21.91066588
Tower,SAF-05,15,4,04/08/2015 00:00,214,1.3,21,13.4,1,NA,Rubiaceae,Urophyllum,griffithianum,Urophyllum griffithianum,"Collected by SAFE Carbon Team, identified by MinSheng Khoo, 2014-2015, verified by Magat bin Japar (2016)",other,0.48,8.539,567832.46,521247.885,,,1,144.3784608,68.8685258
Tower,SAF-05,15,4,04/08/2015 00:00,215,1.3,15,7.3,1,NA,Euphorbiaceae,Mallotus,korthalsii,Mallotus korthalsii,"Collected by SAFE Carbon Team, identified by MinSheng Khoo, 2014-2015, verified by Magat bin Japar (2016)",other,0.467715143,0,567832.783,521247.389,,,1,39.10250602,18.65189537
Tower,SAF-05,15,4,04/08/2015 00:00,216,1.3,21,6.1,1,NA,Symplocaceae,Symplocos,fasciculata,Symplocos fasciculata,"Collected by SAFE Carbon Team, identified by MinSheng Khoo, 2014-2015, verified by Magat bin Japar (2016)",other,0.3,0,567830.652,521251.476,23/03/2016 00:00,49,0,41.077827,19.59412348
Tower,SAF-05,15,4,04/08/2015 00:00,217,0,0,0,0,Dead,Lamiaceae,Callicarpa,pentandra,Callicarpa pentandra,"Collected by SAFE Carbon Team, identified by MinSheng Khoo, 2014-2015, verified by Magat bin Japar (2016)",DEAD,0.34,0.252,567828.251,521251.37,,,0,0,0
Tower,SAF-05,15,4,04/08/2015 00:00,218,1.3,25.3,12.1,1,NA,Dipterocarpaceae,Shorea,johorensis,Shorea johorensis,"Collected by SAFE Carbon Team, identified by MinSheng Khoo, 2014-2015, verified by Magat bin Japar (2016)",Dipterocarp,0.393333333,14.113,567828.648,521252.767,07/05/2016 00:00,94,0,155.0618452,73.96450015
Tower,SAF-05,15,4,04/08/2015 00:00,219,1.3,20,16.1,1,NA,Euphorbiaceae,Macaranga,pearsonii,Macaranga pearsonii,"Collected by SAFE Carbon Team, identified by MinSheng Khoo, 2014-2015, verified by Magat bin Japar (2016)",pioneer,0.381,13.355,567831.941,521255.312,23/03/2016 00:00,49,0,124.890276,59.57266165
Tower,SAF-05,16,4,04/08/2015 00:00,220,1.3,23.5,13.9,1,NA,Euphorbiaceae,Macaranga,hypoleuca,Macaranga hypoleuca,"Collected by SAFE Carbon Team, identified by MinSheng Khoo, 2014-2015, verified by Magat bin Japar (2016)",pioneer,0.263333333,27.708,567832.296,521256.835,09/04/2016 00:00,66,0,102.8902313,49.07864035
