Campaign,Tree_tag,repeat,date,code branch,leaf,code leaf,leaf fresh weight,dry weight,Leaf_2018,Leaf area,LMA,resp,photo,day,month,monthday_code,SampleID
'C1',219,1,20-janv-16,'C1_219_1',L2,C1_219_1_L2,6.02,1.331,'T',261.3501857,50.92783831,-1.265566145,7.87827651,20,1,JAN20,T219_JAN20_L2
'C1',219,1,20-janv-16,'C1_219_1',L3,C1_219_1_L3,7.33,1.689,'T',307.9852112,54.84029553,-0.444292408,10.45488269,20,1,JAN20,T219_JAN20_L3
'C1',219,1,20-janv-16,'C1_219_1',L4,C1_219_1_L4,10.51,4.454,'T',413.0567478,107.83022,-0.680938022,9.609641519,20,1,JAN20,T219_JAN20_L4
'C1',219,1,20-janv-16,'C1_219_1',L5,C1_219_1_L5,6.58,2.725,'T',281.4829413,96.80870847,-0.859295234,10.1564007,20,1,JAN20,T219_JAN20_L5
'C1',177,2,20-janv-16,'C1_177_2',L1,C1_177_2_L1,0.69,0.313,'T',31.86153529,98.23757618,-0.968073262,6.857788513,20,1,JAN20,T177_JAN20_L1
'C1',177,2,20-janv-16,'C1_177_2',L2,C1_177_2_L2,1,0.444,'T',48.5256569,91.49798856,-0.998142234,3.641279995,20,1,JAN20,T177_JAN20_L2
'C1',177,2,20-janv-16,'C1_177_2',L3,C1_177_2_L3,0.98,0.404,'T',41.56988582,97.18573724,-1.490472064,3.90472293,20,1,JAN20,T177_JAN20_L3
'C1',177,2,20-janv-16,'C1_177_2',L4,C1_177_2_L4,0.79,0.394,'T',36.23008667,108.7493948,NaN,3.445759834,20,1,JAN20,T177_JAN20_L4
'C1',177,2,20-janv-16,'C1_177_2',L5,C1_177_2_L5,0.87,0.392,'T',44.29330032,88.50096904,NaN,0.873627587,20,1,JAN20,T177_JAN20_L5
'C1',238,2,20-janv-16,'C1_238_2',L1,C1_238_2_L1,2.97,1.374,'T',147.0438162,93.44153569,1.501362377,-0.568087561,20,1,JAN20,T238_JAN20_L1
'C1',238,2,20-janv-16,'C1_238_2',L2,C1_238_2_L2,2.16,0.977,'T',110.7547806,88.21289654,0.547159476,-0.512106709,20,1,JAN20,T238_JAN20_L2
'C1',238,2,20-janv-16,'C1_238_2',L3,C1_238_2_L3,1.81,0.729,'T',72.6972761,100.2788604,NaN,-0.963252563,20,1,JAN20,T238_JAN20_L3
'C1',238,2,20-janv-16,'C1_238_2',L4,C1_238_2_L4,3.61,1.565,'T',182.3829275,85.8084702,NaN,-0.402526529,20,1,JAN20,T238_JAN20_L4
'C1',238,2,20-janv-16,'C1_238_2',L5,C1_238_2_L5,2.37,1.005,'T',109.5304031,91.75534571,NaN,-0.578744493,20,1,JAN20,T238_JAN20_L5
