SampleID,Dataset_name,Site_name,Species,Sun_Shade,Phenological_stage,Plant_type,Soil,LMA,Narea,Nmass,Parea,Pmass,LWC
W6_913,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,NA,NA,NA,NA,NA,NA
W6_914,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,NA,NA,NA,NA,NA,NA
W6_915,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,NA,NA,NA,NA,NA,NA
W6_916,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,NA,NA,NA,NA,NA,NA
W6_917,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,NA,NA,NA,NA,NA,NA
W6_918,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,NA,NA,NA,NA,NA,NA
W6_919,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,NA,NA,NA,NA,NA,NA
W6_920,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,NA,NA,NA,NA,NA,NA
W6_921,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,NA,NA,NA,NA,NA,NA
W6_922,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,NA,NA,NA,NA,NA,NA
W6_923,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,NA,NA,NA,NA,NA,NA
W6_924,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,NA,NA,NA,NA,NA,NA
W6_925,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,NA,NA,NA,NA,NA,NA
W6_926,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,NA,NA,NA,NA,NA,NA
W6_927,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,NA,NA,NA,NA,NA,NA
W6_928,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,NA,NA,NA,NA,NA,NA
W6_929,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,NA,NA,NA,NA,NA,NA
W6_930,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,NA,NA,NA,NA,NA,NA
W6_931,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,NA,NA,NA,NA,NA,NA
W6_932,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,NA,NA,NA,NA,NA,NA
W6_933,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,NA,NA,NA,NA,NA,NA
W6_934,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,NA,NA,NA,NA,NA,NA
W6_935,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,NA,NA,NA,NA,NA,NA
W6_936,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,NA,NA,NA,NA,NA,NA
W6_937,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,NA,NA,NA,NA,NA,NA
W6_938,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,NA,NA,NA,NA,NA,NA
W6_939,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,NA,NA,NA,NA,NA,NA
W6_940,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,NA,NA,NA,NA,NA,NA
W6_941,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,NA,NA,NA,NA,NA,NA
W6_942,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,NA,NA,NA,NA,NA,NA
W6_943,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,NA,NA,NA,NA,NA,NA
W6_944,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,NA,NA,NA,NA,NA,NA
W6_945,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,NA,NA,NA,NA,NA,NA
W6_946,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,NA,NA,NA,NA,NA,NA
W6_947,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,NA,NA,NA,NA,NA,NA
W6_948,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,NA,NA,NA,NA,NA,NA
W6_950,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,NA,NA,NA,NA,NA,NA
W6_951,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,NA,NA,NA,NA,NA,NA
W6_952,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,NA,NA,NA,NA,NA,NA
W6_953,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,NA,NA,NA,NA,NA,NA
W6_954,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,NA,NA,NA,NA,NA,NA
W6_955,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,NA,NA,NA,NA,NA,NA
W6_956,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,NA,NA,NA,NA,NA,NA
W6_957,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,NA,NA,NA,NA,NA,NA
W6_958,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,NA,NA,NA,NA,NA,NA
W6_959,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,NA,NA,NA,NA,NA,NA
