no,sample,Species,Plant_type,Sun_Shade,Phenological_stage,Soil,photosynthesis,conditions,experiment,Site_name,FieldSpec file,FieldSpec_original,FieldSpec_original_splice_corrected,Li6400 file,LWC,CN Ratio,N%,C%,13C
43,M23,Zea mays,Agricultural,Sun,Mature,Pot,C4,control,greenhouse August 2014,Dusseldorf_BG_Greenhouse,ExpUrteAugust201400377.asd.txt,ExpUrteAugust201400377.asd,ExpUrteAugust201400377.asd.sco,August2014_M23_.csv,97.79816514,20.5194,2.16,44.33,-14.57395077
44,M24,Zea mays,Agricultural,Sun,Mature,Pot,C4,low nitrogen,greenhouse August 2014,Dusseldorf_BG_Greenhouse,ExpUrteAugust201400386.asd.txt,ExpUrteAugust201400386.asd,ExpUrteAugust201400386.asd.sco,August2014_M24_.csv,96.92307692,45.2338,0.95,43.09,-12.74159909
65,M25,Zea mays,Agricultural,Sun,Mature,Pot,C4,low water,greenhouse August 2014,Dusseldorf_BG_Greenhouse,ExpUrteAugust201400617.asd.txt,ExpUrteAugust201400617.asd,ExpUrteAugust201400617.asd.sco,August2014_M25_.csv,99.22734027,12.8779,3.51,45.21,-15.04056361
66,M26,Zea mays,Agricultural,Sun,Mature,Pot,C4,low water,greenhouse August 2014,Dusseldorf_BG_Greenhouse,ExpUrteAugust201400623.asd.txt,ExpUrteAugust201400623.asd,ExpUrteAugust201400623.asd.sco,August2014_M26_.csv,98.60388074,16.0844,2.77,44.52,-14.96686894
67,M27,Zea mays,Agricultural,Sun,Mature,Pot,C4,low water,greenhouse August 2014,Dusseldorf_BG_Greenhouse,ExpUrteAugust201400632.asd.txt,ExpUrteAugust201400632.asd,ExpUrteAugust201400632.asd.sco,August2014_M27_.csv,98.97058824,13.3367,3.4,45.31,-15.31532943
68,M28,Zea mays,Agricultural,Sun,Mature,Pot,C4,low water,greenhouse August 2014,Dusseldorf_BG_Greenhouse,ExpUrteAugust201400641.asd.txt,ExpUrteAugust201400641.asd,ExpUrteAugust201400641.asd.sco,August2014_M28_.csv,98.07862844,16.0672,2.82,45.23,-15.34139049
69,M29,Zea mays,Agricultural,Sun,Mature,Pot,C4,low water,greenhouse August 2014,Dusseldorf_BG_Greenhouse,ExpUrteAugust201400650.asd.txt,ExpUrteAugust201400650.asd,ExpUrteAugust201400650.asd.sco,August2014_M29_.csv,97.91901012,12.6483,3.53,44.62,-14.90923294
70,M30,Zea mays,Agricultural,Sun,Mature,Pot,C4,low water,greenhouse August 2014,Dusseldorf_BG_Greenhouse,ExpUrteAugust201400659.asd.txt,ExpUrteAugust201400659.asd,ExpUrteAugust201400659.asd.sco,August2014_M30_.csv,98.08875931,13.7909,3.25,44.87,-15.11297324
71,M31,Zea mays,Agricultural,Sun,Mature,Pot,C4,low water,greenhouse August 2014,Dusseldorf_BG_Greenhouse,ExpUrteAugust201400668.asd.txt,ExpUrteAugust201400668.asd,ExpUrteAugust201400668.asd.sco,August2014_M31_.csv,95.64263323,14.2344,3.13,44.61,-15.32392091
72,M32,Zea mays,Agricultural,Sun,Mature,Pot,C4,low water,greenhouse August 2014,Dusseldorf_BG_Greenhouse,ExpUrteAugust201400683.asd.txt,ExpUrteAugust201400683.asd,ExpUrteAugust201400683.asd.sco,August2014_M32_.csv,96.50848765,11.7189,3.72,43.63,-15.37245936
73,M33,Zea mays,Agricultural,Sun,Mature,Pot,C4,low water,greenhouse August 2014,Dusseldorf_BG_Greenhouse,ExpUrteAugust201400690.asd.txt,ExpUrteAugust201400690.asd,ExpUrteAugust201400690.asd.sco,August2014_M33_.csv,98.2799246,13.1323,3.36,44.13,-15.64288115
