SampleID,date,TreeID,USDA_Code,Na,Ca,C_N,LMA,LDMC,T_Asat,Asat,Vcmax25,Vcmax,T_Rdark,Rdark25,Rdark
BNL19314,20210808,97,ACRU,1042.92589,28889.04716,27.7,57.94032724,0.442647059,26.501,2.062699017,9.976331661,10.39958216,26.49746667,0.752999485,0.78571992
BNL19315,20210808,96,ACRU,836.7661213,25165.3513,30.07453416,51.97305101,0.411864407,26.48183333,1.34401177,6.486974748,6.758594516,26.51033333,0.407925216,0.42580579
BNL19316,20210808,98,QURU,2060.490857,43840.23099,21.27659574,87.68046198,0.479473684,26.50335,17.80443651,69.42415979,78.49779526,26.5019,1.07227996,1.166252103
BNL19317,20210808,50,BEAL2,964.292589,20912.31954,21.68669528,41.38594803,0.424691358,26.482,8.768090298,33.41647493,38.36634429,26.49118333,0.62087179,0.652761444
BNL19342,20210809,99,QUAL,1091.26564,25229.64389,23.11961722,52.21366699,0.405607477,26.49936667,4.933946547,25.03877225,28.30207435,26.4998,0.458340003,0.498449604
BNL19343,20210809,102,ACRU,905.8902791,23835.9384,26.31216931,47.9307026,0.418487395,26.50403333,6.42779537,32.06837232,33.43169971,26.50783333,0.568576125,0.593456576
BNL19344,20210809,102,ACRU,970.1636189,24312.30029,25.06,48.50818094,0.427118644,26.5012,7.084656373,37.49248477,39.08333759,26.5001,0.563793672,0.588336246
BNL19345,20210809,99,QURU,1092.479032,27832.47628,25.47643979,57.19785508,0.444919786,26.98906667,9.974566085,41.01709928,48.2556954,27.00735,0.641760197,0.717882457
BNL19346,20210809,102,ACRU,969.8556304,26046.81424,26.85638298,51.58806545,0.446666667,27.00423333,6.139785778,31.97140313,33.79532964,27.00298333,0.407087179,0.430878737
BNL19347,20210809,102,ACRU,966.7949952,23570.93359,24.3804878,47.16073147,0.42919708,26.48138333,8.166240043,38.60954752,40.2256876,26.50138333,0.446005624,0.465437632
BNL19376,20210810,104,QUAL,1119.024703,24598.01091,21.98165138,51.33140841,0.438356164,26.9862,1.962936544,12.33382243,11.57573831,27.00071667,0.766292485,0.826102028
BNL19377,20210810,104,QUAL,1075.820768,25518.46861,23.72,53.79103839,0.396062992,27.00316667,1.451378963,9.658206081,9.058379323,26.99768333,0.909660768,0.980549292
BNL19378,20210810,106,BEAL2,655.2026521,14921.31323,22.77358491,30.90578548,0.321111111,26.50425,4.468810476,19.2426363,22.13892912,26.49355,0.4311999,0.453383353
BNL19379,20210810,105,BEAL2,567.092484,14018.98679,24.72081218,28.78642051,0.301834862,26.98443333,4.601211349,16.61084257,19.98586172,27.0028,0.410832356,0.439370196
BNL19380,20210810,105,BEAL2,514.5909528,12281.05871,23.86567164,25.60153994,0.369444444,26.99893333,4.097549659,14.65921321,17.66151322,27.00631667,0.327545204,0.350338662
BNL19381,20210810,108,QURU,991.5303176,23437.05486,23.6372549,48.60442733,0.400793651,26.48535,4.816288471,23.94587655,27.03570627,26.49148333,0.388811889,0.422641369
BNL19406,20210811,66,QUAL,1764.25409,38156.93936,21.62780269,79.11453321,0.456666667,26.99825,3.282839905,24.34562949,22.83816476,27.00533333,1.172195279,1.263903455
BNL19407,20210811,21,QUAL,1830.670517,42923.00289,23.44660194,88.8675008,0.512962963,27.00373333,3.862635127,24.14715907,22.64697198,27.00351667,1.231144971,1.327375173
