ID,Year,Fertilisation,Season,Site,Plot,Tree,Rep,Family,Genus,Species,Photosynthesis,Vcmax,Jmax,Rd,Vcmax_TPU,Jmax_TPU,TPU,Asat,Cond,SLA,C,N,P,K,Ca,Mg,Mn,Phenol_Perc,Phenol,Tannin_Perc,Tannin,CII,Height,Diameter10cm,Diameter50cm,LAI,Herbivory
(/),(/),(/),(/),(/),(/),(/),(/),(/),(/),(/),(/),(µmol m-2 s-1),(µmol m-2 s-1),(µmol m-2 s-1),(µmol m-2 s-1),(µmol m-2 s-1),(µmol m-2 s-1),(µmol m-2 s-1),(µmol m-2 s-1),(cm² g-1),(%),(%),(%),(%),(%),(%),(%),(%),(mg g-1),(%),(mg g-1),(/),(cm),(mm),(mm),(m² m-2),(%)
2017_dry_PAR-B1_LP5_Asat,2017,N,dry,PAR,B1,LP5,1,Lecythidaceae,Lecythis,persistens,Asat,NA,NA,NA,NA,NA,NA,3.500874927,0.086898595,122.5906933,49.19781113,1.529785991,0.106538334,0.986079489,0.117854298,0.170100398,0.001819615,NA,NA,NA,NA,1,130.5,12.12,9.74,NA,NA
2017_dry_PAR-B1_OX10_Asat,2017,N,dry,PAR,B1,OX10,1,Annonaceae,Oxandra,asbeckii,Asat,NA,NA,NA,NA,NA,NA,3.100389351,0.060883887,157.1809745,48.88956833,1.694660783,0.052580331,1.463270448,0.408140214,0.325687683,0.01365628,NA,NA,NA,NA,1,132.1,9.7,7.98,NA,NA
2017_dry_PAR-B1_OX4_Asat,2017,N,dry,PAR,B1,OX4,1,Annonaceae,Oxandra,asbeckii,Asat,NA,NA,NA,NA,NA,NA,2.42178865,0.039677715,174.0264901,50.0449791,1.988588333,0.052946891,1.473482837,0.390378886,0.207100065,0.014485104,NA,NA,NA,NA,1,109,10.62,8,NA,NA
2017_dry_PAR-B1_OX5_Asat,2017,N,dry,PAR,B1,OX5,1,Annonaceae,Oxandra,asbeckii,Asat,NA,NA,NA,NA,NA,NA,3.904216617,0.08579326,148.3968164,50.63845444,1.715255618,0.052946891,1.473482837,0.390378886,0.207100065,0.014485104,NA,NA,NA,NA,1,124.5,9.83,7.89,NA,NA
2017_dry_PAR-B1_OX6_Asat,2017,N,dry,PAR,B1,OX6,1,Annonaceae,Oxandra,asbeckii,Asat,NA,NA,NA,NA,NA,NA,3.235624013,0.05713871,157.0642769,48.73770523,1.975548625,0.052580331,1.463270448,0.408140214,0.325687683,0.01365628,NA,NA,NA,NA,1,125,14.3,11.45,NA,NA
2017_dry_PAR-B1_OX7_Asat,2017,N,dry,PAR,B1,OX7,1,Annonaceae,Oxandra,asbeckii,Asat,NA,NA,NA,NA,NA,NA,2.737422014,0.062504151,188.3650519,49.56924438,2.21985817,0.052580331,1.463270448,0.408140214,0.325687683,0.01365628,NA,NA,NA,NA,1,168.1,14.22,10.3,NA,NA
2017_dry_PAR-B2_AL1_Asat,2017,NP,dry,PAR,B2,AL1,1,Chrysobalanaceae,Licania,alba,Asat,NA,NA,NA,NA,NA,NA,2.850232951,0.138852117,153.1141345,49.05361938,1.528535366,0.065646594,0.594375617,0.08535538,0.173013327,0.002245805,NA,NA,NA,NA,1,185.3,15.62,13.27,NA,NA
2017_dry_PAR-B2_AL2_Asat,2017,NP,dry,PAR,B2,AL2,1,Chrysobalanaceae,Licania,alba,Asat,NA,NA,NA,NA,NA,NA,3.543178086,0.100881219,128.5445132,48.74604797,1.442483187,0.035585733,0.357921302,0.30450589,0.253456315,0.005112075,NA,NA,NA,NA,1,231.5,19.53,18.03,NA,NA
2017_dry_PAR-B2_AL3_Asat,2017,NP,dry,PAR,B2,AL3,1,Chrysobalanaceae,Licania,alba,Asat,NA,NA,NA,NA,NA,NA,4.63196796,0.111668888,135.1016159,49.57426453,1.442778826,0.06800455,0.795680045,0.146431589,0.193593598,0.002508125,NA,NA,NA,NA,1,208.8,12.23,11.9,NA,NA
2017_dry_PAR-B2_AL4_Asat,2017,NP,dry,PAR,B2,AL4,1,Chrysobalanaceae,Licania,alba,Asat,NA,NA,NA,NA,NA,NA,3.871857647,0.117993375,154.3746149,48.75372696,1.563928604,0.045343137,0.566767157,0.229867647,0.297242647,0.003720588,NA,NA,NA,NA,1,160,15.42,11.65,NA,NA
