ID,Year,Fertilisation,Season,Site,Plot,Tree,Branch,Rep,Family,Genus,Species,Vcmax,Jmax,Rd,Vcmax_TPU,Jmax_TPU,TPU,CCI,SLA,C,N,P,K,Ca,Mg,Mn,S,Na,V,Sr,As,Cd,Cr,Cu,Fe,Pb,Zn,Mo,CII,Height,Remark_Height/CII
(/),(/),(/),(/),(/),(/),(/),(/),(/),(/),(/),(/),(µmol m-2 s-1),(µmol m-2 s-1),(µmol m-2 s-1),(µmol m-2 s-1),(µmol m-2 s-1),(µmol m-2 s-1),(/),(cm² g-1),(%),(%),(%),(%),(%),(%),(%),(%),(%),(%),(%),(%),(%),(%),(%),(%),(%),(%),(%),(/),(m),(/)
2019_wet_NOU-S4_79T2,2019,C,wet,NOU,S4,79,T,2,Chrysobalanaceae,Licania,alba,15.073,57.519,1.001,NA,NA,NA,40.2,62.05890603,48.66856003,1.330751061,0.034406439,0.528677503,0.146877253,0.074731191,0.003529294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,32,
2019_wet_NOU-S4_79T3,2019,C,wet,NOU,S4,79,T,3,Chrysobalanaceae,Licania,alba,22.628,82.608,1.001,NA,NA,NA,39.1,62.13513514,48.24139786,1.296031117,0.035577258,0.458760558,0.168604652,0.101803773,0.003974403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,32,
2019_wet_NOU-S4_79T4,2019,C,wet,NOU,S4,79,T,4,Chrysobalanaceae,Licania,alba,25.429,79.344,1.001,NA,NA,NA,33.1,58.5952381,48.14661026,1.128309965,0.028995616,0.483320622,0.118828327,0.084677071,0.004008459,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,32,
2019_wet_NOU-S4_79D1,2019,C,wet,NOU,S4,79,D,1,Chrysobalanaceae,Licania,alba,16.821,54.419,0.725,NA,NA,NA,49.7,65.81920112,45.80634689,1.127788186,0.031694993,0.277455258,0.23476522,0.140566051,0.005475976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,28,
2019_wet_NOU-S4_79D2,2019,C,wet,NOU,S4,79,D,2,Chrysobalanaceae,Licania,alba,7.923,35.102,0.725,NA,NA,NA,30.46666667,64.94070081,48.8625412,1.070832133,0.027747845,0.28622025,0.204512421,0.119228759,0.004309166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,28,
2019_wet_NOU-S4_79D3,2019,C,wet,NOU,S4,79,D,3,Chrysobalanaceae,Licania,alba,7.333,30.301,0.725,NA,NA,NA,37.66666667,56.9237435,48.14858246,1.033934355,0.029799107,0.295280055,0.19221167,0.149692873,0.004678435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,28,
2019_wet_NOU-T2_81D3,2019,NP,wet,NOU,T2,81,D,3,Chrysobalanaceae,Licania,alba,19.616,56.354,0.645,NA,NA,NA,35.23333333,81.88850174,48.01731491,1.17350328,0.036111111,0.19926574,0.139269382,0.248147762,0.003709795,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,20,
2019_wet_NOU-T2_81D2,2019,NP,wet,NOU,T2,81,D,2,Chrysobalanaceae,Licania,alba,17.113,52.717,0.645,17.084,52.965,3.831,47.8,61.10748452,49.57273102,1.211654305,0.037301937,0.187493554,0.118974027,0.210787631,0.004556849,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,20,
2019_wet_NOU-T2_81D1,2019,NP,wet,NOU,T2,81,D,1,Chrysobalanaceae,Licania,alba,7.808,19.633,0.645,NA,NA,NA,40.13333333,85.12396694,48.13829041,1.153463125,0.038930582,0.184561155,0.159912175,0.287626661,0.005529282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,20,
2019_wet_NOU-T2_81T3,2019,NP,wet,NOU,T2,81,T,3,Chrysobalanaceae,Licania,alba,44.36,117.084,1.564,43.738,121.857,8.667,41.56666667,47.06,49.40806198,1.048653841,0.035466377,0.11878515,0.136050006,0.160187582,0.003943998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,29,
