SampleID,Spectra_name,date,Genus_species,Site,Plot,AQ,ACi,Rdark,survey,gswQ,gswTleaf,gswRH,gswdarkCO2,gswdarkRH,gswdarkTleaf,Refl,Tran,Vertical_Position,Vertical_Profile,Vertical_Level,Tleaf_Spec
SPC10067,B07_03,20220207,Castilla elastica,PA-PNM,NA,0,0,0,0,0,0,0,0,0,0,1,0,B07,B,7,NA
SPC10068,B08_01,20220207,Castilla elastica,PA-PNM,NA,0,0,0,0,0,0,0,0,0,0,1,0,B08,B,8,NA
SPC10069,B08_02,20220207,Castilla elastica,PA-PNM,NA,0,0,0,0,0,0,0,0,0,0,1,0,B08,B,8,NA
SPC10070,B08_03,20220207,Castilla elastica,PA-PNM,NA,0,0,0,0,0,0,0,0,0,0,1,0,B08,B,8,NA
SPC10071,B09_01,20220207,Castilla elastica,PA-PNM,NA,0,0,0,0,0,0,0,0,0,0,1,0,B09,B,9,NA
SPC10072,B09_02,20220207,Castilla elastica,PA-PNM,NA,0,0,0,0,0,0,0,0,0,0,1,0,B09,B,9,NA
SPC10073,B09_03,20220207,Piper reticulatum,PA-PNM,NA,0,0,0,0,0,0,0,0,0,0,1,0,B09,B,9,NA
SPC10074,B09_04,20220207,Piper reticulatum,PA-PNM,NA,0,0,0,0,0,0,0,0,0,0,1,0,B09,B,9,NA
SPC10075,B09_05,20220207,Piper reticulatum,PA-PNM,NA,0,0,0,0,0,0,0,0,0,0,1,0,B09,B,9,NA
SPC10076,B10_01,20220207,Castilla elastica,PA-PNM,NA,0,0,0,0,0,0,0,0,0,0,1,0,B10,B,10,NA
SPC10077,B10_02,20220207,Castilla elastica,PA-PNM,NA,0,0,0,0,0,0,0,0,0,0,1,0,B10,B,10,NA
SPC10078,B10_03,20220207,NA,PA-PNM,NA,0,0,0,0,0,0,0,0,0,0,1,0,B10,B,10,NA
SPC10079,B10_04,20220207,NA,PA-PNM,NA,0,0,0,0,0,0,0,0,0,0,1,0,B10,B,10,NA
SPC10080,B10_05,20220207,NA,PA-PNM,NA,0,0,0,0,0,0,0,0,0,0,1,0,B10,B,10,NA
