SampleID,date,genus_species,site,fresh_mass,dry_mass,leaf_area,LMA,isotope_mass,15N,13C,N_pc,C_pc,CN_ratio,spectra_name,vertical_position,vertical_profile,vertical_level,Tleaf_spec
BNL20348,20220215,Ficus insipida,PA-PNM,0.15,0.0397,10.62269,37.37283118,0.795,0.4,-33.6,3.2,46,14.2,BNL20348,G09,G,9,31
BNL20349,20220215,Piper reticulatum,PA-PNM,0.14,0.0498,9.80556,50.78751239,0.734,-0.6,-33,2.4,39.3,16.7,BNL20349,G10,G,10,28.8
BNL20359,20220215,Lacistema aggregatum,PA-PNM,0.2,0.0515,9.80556,52.52122265,0.694,2.7,-32.4,2.2,45.9,20.6,BNL20359,G07,G,7,31
BNL20360,20220215,Lacistema aggregatum,PA-PNM,0.2,0.056,9.80556,57.1104557,0.742,3.5,-32.4,2.1,46.8,22.4,BNL20360,G09,G,9,30.2
BNL20361,20220215,Lacistema aggregatum,PA-PNM,0.173,0.0384,9.80556,39.16145534,0.768,1.9,-34.3,2.1,46,21.6,BNL20361,G10,G,10,29.6
BNL20362,20220216,Ficus insipida,PA-PNM,0.283,0.1223,9.80556,124.7251559,0.763,1.8,-30,2.3,44.5,19.4,BNL20362,H02,H,2,29.7
BNL20363,20220216,Anacardium excelsum,PA-PNM,0.28,0.0981,9.80556,100.0452804,0.743,2.5,-30.5,1.2,42.3,35.7,BNL20363,H06,H,6,28.7
BNL20364,20220216,Ficus insipida,PA-PNM,0.25,0.1326,9.80556,135.2294005,0.858,1.4,-29.2,2.2,39.2,17.5,BNL20364,H01,H,1,29.1
BNL20365,20220216,Ficus insipida,PA-PNM,0.178,0.1084,9.80556,110.549525,0.788,0.8,-31.4,2.3,40.7,17.7,BNL20365,H04,H,4,28.7
BNL20366,20220216,Anacardium excelsum,PA-PNM,0.217,0.0753,9.80556,76.79316633,0.787,1.6,-30.8,1.3,42.3,33.8,BNL20366,H05,H,5,29.8
BNL20367,20220216,Piper reticulatum,PA-PNM,0.161,0.0605,9.80556,61.69968875,0.767,3.3,-33,2.3,41.4,17.8,BNL20367,H09,H,9,29.6
BNL20368,20220216,Castilla elastica,PA-PNM,0.09,0.0273,9.80556,27.84134715,0.697,3.2,-33.3,2.9,43.1,15,BNL20368,H08,H,8,29.2
BNL20369,20220216,Piper reticulatum,PA-PNM,0.16,0.0576,9.80556,58.74218301,0.741,2.3,-34.7,2.2,37.3,17.1,BNL20369,H10,H,10,27.9
BNL20370,20220216,Piper reticulatum,PA-PNM,0.152,0.0494,9.80556,50.37958056,0.723,2.8,-32.9,2.9,44.7,15.3,BNL20370,H09,H,9,29
BNL20371,20220217,Ficus insipida,PA-PNM,0.235,0.1214,9.80556,123.8073093,0.753,1.1,-30.2,2.2,39.8,18.2,BNL20371,H03,H,3,31.5
BNL20372,20220217,Anacardium excelsum,PA-PNM,0.251,0.0862,9.80556,87.9093086,0.816,1.5,-27.7,1.8,49.6,27.9,BNL20372,C02,C,2,32.5
